dict,dim_id,dim_name,convention_question,candidate_options,evidence,examples,VALUE,confidence,notes
MCI,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 46 (M-form 1+, n/m-form 4+)",M-root: apAM  ||  n/m-root: anDa nala nIla maRi,,,
MCI,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 2, nom-A 16, -ar/-R 0",stem-f: kOravyaduhitf piRqaBettf  |  nom-A: jaritA lapitA vinatA  |  -ar/R: ,,,
MCI,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 2, -yas 0",-vas: uccEHSravas pfTuSravas  ||  -yas: ,,,
KNA,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KNA,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KNA,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KNA,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KNA,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
KOW,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
AMAR,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,NO LOCAL SOURCE — annotate from Cologne scans/print,,,,
