value	class_draft	evidence	source
NĀRADAʼs DHARMAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:NĀRADA
NĀRADAʼs DHARMAŚ. cod. Berol.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:NĀRADA
NĀRADAʼs PAÑCARĀTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:NĀRADA
NĀRAS. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĀRASIṂHA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĀRĀYAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĀRĀYAṆACAKRAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĀRĀYAṆACAKRAVARTIN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĀRĀYAṆADHYĀNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĀRĀYAṆOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĀḌĪPRAKĀŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĪDĀNAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĪL.	person-author	person descriptor in tooltip	pwgbib-exact
NĪLAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĪLAKAṆṬHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:NĪLAK
NĪTIPR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĪTIRATNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NĪTIS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NṚS. TĀP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NṚS. TĀP. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NṚS. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NṚSIṂHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
NṚSIṂHATĀPANĪYOPANIṢAD	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
OD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Or. u. Occ.	person-western?	Latin-script surname pattern	pwgbib-exact
Or. und Occ.	person-western?	Latin-script surname pattern	pwgbib-exact
Orient und Occident	person-western?	Latin-script surname pattern	pwgbib-exact
Oxford Essays	person-western?	Latin-script surname pattern	no-bib-record
P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
P. (ed. Calc.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:P.
P. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:P.
P. Pr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:P.
PADDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PADMA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PADMAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PADMAPURĀṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PADYĀV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PADYĀVALĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAITHĪNASI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAIṬHĪNASI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PALLAS, Sammlung hist. Nachr. über die mongolischen Völkerschaften	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PALLAS
PANDIT	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARAM. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARAMAH. UP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARAMAHAṂSOP.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PARAMAHAṂSOPAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARAMĀDĪŚVARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARAMĀRTHAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARAŚURĀMAPRAKĀŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARIBH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARIBHĀṢĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARIŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARIŚIṢṬA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARIŚIṢṬA zum AV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PARIŚIṢṬA
PARĀŚ.	person-author	person descriptor in tooltip	pwgbib-exact
PARĀŚ. PADDH.	person-author	person descriptor in tooltip	pwgbib-prefix:PARĀŚ.
PARĀŚARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARĀŚARA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARĀŚARAPADDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARĀŚARAPADDHATI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PARĀŚARAʼs DHARMAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PARĀŚARA
PARŚVANĀTHAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAT.	person-author	person descriptor in tooltip	pwgbib-exact
PAT. YOGAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAT. a. a. O.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PATAÑJALI	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PATHYĀPATHYAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PATTRAKAUMUDĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAÑCAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAÑCASĀYAKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAÑCAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAÑCAT. KOS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PAÑCAT.
PAÑCAT. Pr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PAÑCAT.
PAÑCAT. ed. Bomb.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAÑCAT. ed. BÜHL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PAÑCAT.
PAÑCAT. ed. KOS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PAÑCAT.
PAÑCAT. ed. orn.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAÑCATANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAÑCAV. BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PAŚUPATIPADDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PENTAGL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PERTSCH	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PERTSCH, UPAL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PHAṆIBHĀṢYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PHETK.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PHETKĀRĪYATANTRA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PISCHEL	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PISCHEL, De gramm. pr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PISCHEL
PISCHEL, de Gramm. prācr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PITĀMAHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PIṄGALA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PIṄGALACCHANDAS	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PIṄGALA
PK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PLIN. H. N.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PLINIUS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PLINIUS, H. N.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PLINIUS
POLEY	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
POTT	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
POTT und RÖDIGER	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:POTT
POTT, Die quin. u. vig. Zählm.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:POTT
POTT, Zig.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
POTTʼs Zigeuner	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:POTT
PRAB.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAB. Pr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PRAB.
PRABODH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRABODHAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRABODHACANDRODAYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRACETAS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAKRIYĀKAUMUDĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAKṚTIKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAKṚTIKHAṆḌA in BRAHMAVAIV. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PRAKṚTIKHAṆḌA
PRASANNAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRASAṄGĀBH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRATIJÑĀS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRATĀPAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAUḌHAMANOR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAUḌHAMANORAMĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAVAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAVARĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAVARĀDHY.-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PRAVARĀDHY.
PRAYOGAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAYOGARATNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAYOGASĀRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAYOGĀMṚTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAŚNASĀRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAŚNOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAŚNOTTARAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRAŚNOTTARAMĀLĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀCĪNAŚIVASTUTI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀTT.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PRĀYAŚCITTAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀYAŚCITTATATTVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀYAŚCITTAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀYAŚCITTAVIV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀYAŚCITTAVIVEKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀYAŚCITTAVIVEKASAṂGRAHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀYAŚCITTEND.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PRĀYAŚCITTENDUŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PTOL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PTOLEM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PTOLEMAEUS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PTOLEMAIOS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PULASTYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PUR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURUṢ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURUṢAKARA (WEST.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURUṢAKĀRA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PURUṢASŪKTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURUṢOTT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURUṢOTTAMA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURUṢOTTAMAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURUṢOTTAMADEVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURUṢOTTAMATATTVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURĀṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PURĀṆATANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PURĀṆA
PUṆḌARĪKĀKṢA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PUṢPA.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PUṢPA
PUṢPAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PUṢPASŪTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PWG	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PWG Nachträge	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PWG Nachträgen	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PWG Verbesserungen und Nachträge	book-work	default: bib expansion with no person/periodical signal	no-bib-record
PYTHAG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Padapāṭha zum SV.	person-western?	Latin-script surname pattern	no-bib-record
Pet. Hdschr.	person-western?	Latin-script surname pattern	pwgbib-exact
Pravarādhy.	person-western?	Latin-script surname pattern	pwgbib-case
Pref. zu VARĀH. BṚH. S.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Progr. der Univ. Breslau	person-western?	Latin-script surname pattern	no-bib-record
PĀDMA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀDMA-P., KRIYĀY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PĀDMA-P.
PĀDMA-P., KĀRTTIKAM.	commentary-of-work	Comm./Tīkā marker in value	pwgbib-prefix:PĀDMA-P.
PĀDMA-P., PĀTĀLAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PĀDMA-P.
PĀDMA-P., PĀTĀLAKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PĀDMA-P.
PĀDMA-P., SVARGAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PĀDMA-P.
PĀDMA-P., SVARGAKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:PĀDMA-P.
PĀDMA-P., UTTARAKH., KĀRTTIKAM.	commentary-of-work	Comm./Tīkā marker in value	pwgbib-prefix:PĀDMA-P.
PĀDMOTTARAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀDMOTTARAKH., KĀRTTIKAM.	commentary-of-work	Comm./Tīkā marker in value	pwgbib-prefix:PĀDMOTTARAKH.
PĀDMOTTARAKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀKARĀJ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀKARĀJEŚVARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀNINI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀR. GṚHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀRASK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀRAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀRĀYAṆA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀRĀYAṆĪYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀRŚVANĀTHAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀTĀLAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀTĀLAKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀŚAKAKEV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀṂŚUPRAD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀṆINI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĀṬ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PĪṬHAMĀLĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PŪNĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PŪRVACĀTAKĀṢṬ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
PŪRVACĀTAKĀṢṬAKA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R. (GORR.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:R.
R. (ed. ŚRĪR.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:R.
R. GORR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R. GORR. Uebers.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:R. GORR.
R. S. 14	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:R.
R. SCHL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R. ed. Bomb.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R. ed. GORR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R. ed. SCHL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R. ed. Ser.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
R. ed. ŚRĪR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RABHASA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RABHASAKOŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAGH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAGH. (Calc.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAGH. (ed. Calc.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:RAGH.
RAGH. ed. Calc.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAGH. ed. ST.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAGHU	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAGHUN.	person-author	person descriptor in tooltip	pwgbib-exact
RAGHUNANDANA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAGHUNĀTHAM	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAGHUV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAJAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAKṢITA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAMĀN.	person-author	person descriptor in tooltip	pwgbib-exact
RAMĀNĀTHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RANTI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RANTID.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RANTIDEVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RASACANDRIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RASAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RASAMANJARĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RASARATNĀKARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RASATAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RASENDRACINTĀMAṆI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RASIKAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATIM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATIMAÑJARĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATIRAHASYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNAG.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
RATNAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNAKOṢA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNAMATI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNAPARĪKṢĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNAPRAKĀŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNĀK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNĀKARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNĀV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNĀVAD.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
RATNĀVADĀNAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RATNĀVALĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RAVERTY, Dict. of Pukʼhto	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:RAVERTY
REGNIER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
REINAUD	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
REINAUD, Fragments arabes et persans u. s. w.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:REINAUD
REINAUD, Mém. sur lʼInde	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:REINAUD
REINAUD, Mémoire sur lʼInde	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:REINAUD
REVĀMĀH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROS.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
ROSEN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROTH	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROTH, Einl. zu NIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Einl. zum NIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Erl. zum NIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Erll. zu NIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Erll. zu d. St.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Erläut. z. NIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, NAIGH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, NIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, NIR. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Ueber den Mythus von den Menschengeschlechtern	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, YĀSKAʼs NIR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Z. L. u. G. d. W.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Zur L. u. G. d. W.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROTH, Zur L. u. G. des W.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROTH, Zur L. u. G. des Weda	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTH, Zur L. und G. d. W.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROTH, Zur Lit. u. G. d. W.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROTH, Zur Lit. u. Gesch. d. W.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH, Zur Lit.
ROTH, Zur Lit. u. s. w.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH, Zur Lit.
ROTH, Zur Lit. und G. d. W.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROTH, der Atharvaveda in Kashmir	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROTHʼs Programm über den AV. in Kashmir	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROTH
ROXB.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROXB. Fl. ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ROXB. Fl. ind. ed. CAREY	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ROXB. Fl. ind.
ROËR	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RUCISTAVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RUDRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RUDRAY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RUDRAYĀM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RUDRAYĀMALA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RUDRAYĀMALAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RUDRAYĀMALOTTARAKH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RÖDIGER und POTT	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:RÖDIGER
RÖER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RÖER, TS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:RÖER
RÜCKERT	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀDHĀKĀNTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀDHĀKĀNTADEVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀGHAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀGHAVAP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀGHAVAPĀṆḌ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀGHAVĀNANDA (bei LOIS.)	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:RĀGHAVĀNANDA
RĀJA-TAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀJA-TAR. ed. Calc.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀJA-TAR. ed. TR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:RĀJA-TAR.
RĀJA-TARAṄGIṆĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀJADHARMA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀJAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
RĀJAMĀRTAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
